P e2-e4;R1N1B1Q1K1B1N1R1P1P1P1P100P1P1P1000000000000000000000000P100000000000000000000000000000000000000P2P2P2P2P2P2P2P2R2N2B2Q2K2B2N2R2

P d7-d6;R1N1B1Q1K1B1N1R1P1P1P1P100P1P1P1000000000000000000000000P10000000000000000000000000000P200000000P2P2P200P2P2P2P2R2N2B2Q2K2B2N2R2

Q d1-e2;R1N1B100K1B1N1R1P1P1P1P1Q1P1P1P1000000000000000000000000P10000000000000000000000000000P200000000P2P2P200P2P2P2P2R2N2B2Q2K2B2N2R2

P c7-c5;R1N1B100K1B1N1R1P1P1P1P1Q1P1P1P1000000000000000000000000P10000000000P20000000000000000P200000000P2P20000P2P2P2P2R2N2B2Q2K2B2N2R2

P c2-c3;R1N1B100K1B1N1R1P1P100P1Q1P1P1P10000P1000000000000000000P10000000000P20000000000000000P200000000P2P20000P2P2P2P2R2N2B2Q2K2B2N2R2

Q d8-b6;R1N1B100K1B1N1R1P1P100P1Q1P1P1P10000P1000000000000000000P10000000000P2000000000000Q200P200000000P2P20000P2P2P2P2R2N2B200K2B2N2R2

P a2-a4;R1N1B100K1B1N1R100P100P1Q1P1P1P10000P10000000000P1000000P10000000000P2000000000000Q200P200000000P2P20000P2P2P2P2R2N2B200K2B2N2R2

B c8-g4;R1N1B100K1B1N1R100P100P1Q1P1P1P10000P10000000000P1000000P100B2000000P2000000000000Q200P200000000P2P20000P2P2P2P2R2N20000K2B2N2R2

Q e2-g4;R1N1B100K1B1N1R100P100P100P1P1P10000P10000000000P1000000P100Q1000000P2000000000000Q200P200000000P2P20000P2P2P2P2R2N20000K2B2N2R2

P h7-h6;R1N1B100K1B1N1R100P100P100P1P1P10000P10000000000P1000000P100Q1000000P2000000000000Q200P2000000P2P2P20000P2P2P200R2N20000K2B2N2R2

R a1-a3;00N1B100K1B1N1R100P100P100P1P1P1R100P10000000000P1000000P100Q1000000P2000000000000Q200P2000000P2P2P20000P2P2P200R2N20000K2B2N2R2

P c5-c4;00N1B100K1B1N1R100P100P100P1P1P1R100P10000000000P100P200P100Q100000000000000000000Q200P2000000P2P2P20000P2P2P200R2N20000K2B2N2R2

B f1-c4;00N1B100K100N1R100P100P100P1P1P1R100P10000000000P100B100P100Q100000000000000000000Q200P2000000P2P2P20000P2P2P200R2N20000K2B2N2R2

N b8-c6;00N1B100K100N1R100P100P100P1P1P1R100P10000000000P100B100P100Q100000000000000000000Q2N2P2000000P2P2P20000P2P2P200R2000000K2B2N2R2

P h2-h4;00N1B100K100N1R100P100P100P1P100R100P10000000000P100B100P100Q1P1000000000000000000Q2N2P2000000P2P2P20000P2P2P200R2000000K2B2N2R2

P f7-f5;00N1B100K100N1R100P100P100P1P100R100P10000000000P100B100P100Q1P10000000000P2000000Q2N2P2000000P2P2P20000P200P200R2000000K2B2N2R2

Q g4-f5;00N1B100K100N1R100P100P100P1P100R100P10000000000P100B100P10000P10000000000Q1000000Q2N2P2000000P2P2P20000P200P200R2000000K2B2N2R2

N g8-f6;00N1B100K100N1R100P100P100P1P100R100P10000000000P100B100P10000P10000000000Q1000000Q2N2P200N200P2P2P20000P200P200R2000000K2B200R2

P h4-h5;00N1B100K100N1R100P100P100P1P100R100P10000000000P100B100P10000000000000000Q100P100Q2N2P200N200P2P2P20000P200P200R2000000K2B200R2

N f6-e4;00N1B100K100N1R100P100P100P1P100R100P10000000000P100B100N20000000000000000Q100P100Q2N2P2000000P2P2P20000P200P200R2000000K2B200R2

B c4-f7+;00N1B100K100N1R100P100P100P1P100R100P10000000000P1000000N20000000000000000Q100P100Q2N2P2000000P2P2P20000P2B1P200R2000000K2B200R2

K e8-d8;00N1B100K100N1R100P100P100P1P100R100P10000000000P1000000N20000000000000000Q100P100Q2N2P2000000P2P2P20000P2B1P200R20000K200B200R2

B f7-e8;00N1B100K100N1R100P100P100P1P100R100P10000000000P1000000N20000000000000000Q100P100Q2N2P2000000P2P2P20000P200P200R20000K2B1B200R2

K d8-e8;00N1B100K100N1R100P100P100P1P100R100P10000000000P1000000N20000000000000000Q100P100Q2N2P2000000P2P2P20000P200P200R2000000K2B200R2

P f2-f3;00N1B100K100N1R100P100P10000P100R100P10000P10000P1000000N20000000000000000Q100P100Q2N2P2000000P2P2P20000P200P200R2000000K2B200R2

N e4-d2;00N1B100K100N1R100P100N20000P100R100P10000P10000P1000000000000000000000000Q100P100Q2N2P2000000P2P2P20000P200P200R2000000K2B200R2

B c1-d2;00N10000K100N1R100P100B10000P100R100P10000P10000P1000000000000000000000000Q100P100Q2N2P2000000P2P2P20000P200P200R2000000K2B200R2

Q b6-g1+;00N10000K100Q2R100P100B10000P100R100P10000P10000P1000000000000000000000000Q100P10000N2P2000000P2P2P20000P200P200R2000000K2B200R2

R h1-g1;00N10000K100R10000P100B10000P100R100P10000P10000P1000000000000000000000000Q100P10000N2P2000000P2P2P20000P200P200R2000000K2B200R2

P a7-a5;00N10000K100R10000P100B10000P100R100P10000P10000P100000000000000P200000000Q100P10000N2P2000000P200P20000P200P200R2000000K2B200R2

R a3-b3;00N10000K100R10000P100B10000P10000R1P10000P10000P100000000000000P200000000Q100P10000N2P2000000P200P20000P200P200R2000000K2B200R2

R a8-a6;00N10000K100R10000P100B10000P10000R1P10000P10000P100000000000000P200000000Q100P1R200N2P2000000P200P20000P200P20000000000K2B200R2

R b3-b6;00N10000K100R10000P100B10000P1000000P10000P10000P100000000000000P200000000Q100P1R2R1N2P2000000P200P20000P200P20000000000K2B200R2

R a6-b6;00N10000K100R10000P100B10000P1000000P10000P10000P100000000000000P200000000Q100P100R2N2P2000000P200P20000P200P20000000000K2B200R2

P g2-g4;00N10000K100R10000P100B1000000000000P10000P10000P10000000000P100P200000000Q100P100R2N2P2000000P200P20000P200P20000000000K2B200R2

R h8-h7;00N10000K100R10000P100B1000000000000P10000P10000P10000000000P100P200000000Q100P100R2N2P2000000P200P20000P200P2R200000000K2B20000

R g1-g3;00N10000K100000000P100B1000000000000P10000P1R100P10000000000P100P200000000Q100P100R2N2P2000000P200P20000P200P2R200000000K2B20000

N c6-b4;00N10000K100000000P100B1000000000000P10000P1R100P1N200000000P100P200000000Q100P100R200P2000000P200P20000P200P2R200000000K2B20000

P f3-f4;00N10000K100000000P100B1000000000000P1000000R100P1N2000000P1P100P200000000Q100P100R200P2000000P200P20000P200P2R200000000K2B20000

P g7-g6;00N10000K100000000P100B1000000000000P1000000R100P1N2000000P1P100P200000000Q100P100R200P20000P2P200P20000P20000R200000000K2B20000

R g3-e3;00N10000K100000000P100B1000000000000P100R1000000P1N2000000P1P100P200000000Q100P100R200P20000P2P200P20000P20000R200000000K2B20000

N b4-d5;00N10000K100000000P100B1000000000000P100R1000000P100000000P1P100P20000N200Q100P100R200P20000P2P200P20000P20000R200000000K2B20000

P c3-c4;00N10000K100000000P100B10000000000000000R1000000P100P10000P1P100P20000N200Q100P100R200P20000P2P200P20000P20000R200000000K2B20000

R b6-c6;00N10000K100000000P100B10000000000000000R1000000P100P10000P1P100P20000N200Q100P10000R2P20000P2P200P20000P20000R200000000K2B20000

B d2-a5;00N10000K100000000P100000000000000000000R1000000P100P10000P1P100B10000N200Q100P10000R2P20000P2P200P20000P20000R200000000K2B20000

P g6-g5;00N10000K100000000P100000000000000000000R1000000P100P10000P1P100B10000N200Q1P2P10000R2P2000000P200P20000P20000R200000000K2B20000

R e3-d3;00N10000K100000000P1000000000000000000R100000000P100P10000P1P100B10000N200Q1P2P10000R2P2000000P200P20000P20000R200000000K2B20000

N d5-f4;00N10000K100000000P1000000000000000000R100000000P100P10000N2P100B100000000Q1P2P10000R2P2000000P200P20000P20000R200000000K2B20000

Q f5-e6;00N10000K100000000P1000000000000000000R100000000P100P10000N2P100B10000000000P2P10000R2P2Q10000P200P20000P20000R200000000K2B20000

R c6-c4;00N10000K100000000P1000000000000000000R100000000P100R20000N2P100B10000000000P2P1000000P2Q10000P200P20000P20000R200000000K2B20000

R d3-d6;00N10000K100000000P10000000000000000000000000000P100R20000N2P100B10000000000P2P1000000R1Q10000P200P20000P20000R200000000K2B20000

B f8-g7;00N10000K100000000P10000000000000000000000000000P100R20000N2P100B10000000000P2P1000000R1Q10000P200P20000P200B2R200000000K2000000

Q e6-f6;00N10000K100000000P10000000000000000000000000000P100R20000N2P100B10000000000P2P1000000R100Q100P200P20000P200B2R200000000K2000000

N f4-h3;00N10000K100000000P100000000000000000000000000N2P100R2000000P100B10000000000P2P1000000R100Q100P200P20000P200B2R200000000K2000000

Q f6-g7;00N10000K100000000P100000000000000000000000000N2P100R2000000P100B10000000000P2P1000000R1000000P200P20000P200Q1R200000000K2000000

R c4-c3;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P1000000R1000000P200P20000P200Q1R200000000K2000000

Q g7-h7;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P1000000R1000000P200P20000P20000Q100000000K2000000

P e7-e6;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P1000000R1P20000P200P20000000000Q100000000K2000000

R d6-d8#;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P100000000P20000P200P20000000000Q1000000R1K2000000